Artist,Album,Track,Song_Length_Sec
Gene Krupa,Djavan Ao Vivo - Vol. 02,Fato Consumado,211
Gilberto Gil,Cidade Negra - Hits,Eu Também Quero Beijar,211
Kiss,Vinícius De Moraes - Sem Limite,Pot-Pourri N.º 2,211
Nirvana,Seventh Son of a Seventh Son,Can I Play With Madness,211
Os Mutantes,Cássia Eller - Sem Limite [Disc 1],Rubens,211
"Richard Marlow & The Choir of Trinity College, Cambridge",Mezmerize,Violent Pornography,211
The Police,Greatest Hits,Are You Gonna Go My Way,211
Toquinho & Vinícius,Djavan Ao Vivo - Vol. 1,Amar É Tudo,211
Barry Wordsworth & BBC Concert Orchestra,Acústico,Querem Meu Sangue,212
"Britten Sinfonia, Ivor Bolton & Lesley Garrett",Tangents,The Messenger,212
Caetano Veloso,Black Sabbath,Warning,212
Dhani Harrison & Jakob Dylan,Nevermind,Stay Away,212
Dread Zeppelin,Miles Ahead,Blues For Pablo (Alternate Take),212
Gonzaguinha,Cássia Eller - Coleção Sem Limite [Disc 2],Gatas Extraordinárias,212
Gonzaguinha,Cássia Eller - Coleção Sem Limite [Disc 2],Palavras Ao Vento,212
Julian Bream,Every Kind of Light,I Guess You're Right,212
Kiss,Vinícius De Moraes - Sem Limite,Samba Em Prelúdio,212
Otto,New Adventures In Hi-Fi,Low Desert,212
Page & Plant,Sex Machine,Night Train,212
Pink Floyd,Are You Experienced?,Highway Chile,212
Scholars Baroque Ensemble,"Pure Cult: The Best Of The Cult (For Rockers, Ravers, Lovers & Sinners) [UK]",Sweet Soul Sister,212
The 12 Cellists of The Berlin Philharmonic,Radio Brasil (O Som da Jovem Vanguarda) - Seleccao de Henrique Amaro,Um Lugar ao Sol,212
The Flaming Lips,Original Soundtracks 1,Beach Sequence,212
Antal Doráti & London Symphony Orchestra,"The Best Of Van Halen, Vol. I",And the Cradle Will Rock...,213
Charlie Brown Jr.,Greatest Hits I,Play The Game,213
Christina Aguilera featuring BigElf,Ace Of Spades,Jailbait,213
Def Leppard,Deixa Entrar,Medo De Escuro,213
Faith No More,The Colour And The Shape,My Poor Brain,213
"Felix Schmidt, London Symphony Orchestra & Rafael Frühbeck de Burgos",UB40 The Best Of - Volume Two [UK],Wear You To The Ball,213
Fernanda Porto,International Superhits,Macy's Day Parade,213
Foo Fighters,Roda De Funk,Motéis,213
Gene Krupa,Djavan Ao Vivo - Vol. 02,Álibi,213
Green Day,"Chronicle, Vol. 1",Long As I Can See The Light,213
"Herbert Von Karajan, Mirella Freni & Wiener Philharmoniker",Volume Dois,Desordem,213
Luiz Melodia,Chill: Brazil (Disc 1),Sambassim (dj patife remix),213
Marisa Monte,Live At Donington 1992 (Disc 1),Can I Play With Madness,213
"Mela Tenenbaum, Pro Musica Prague & Richard Kapp",Revelations,Nothing Left to Say But Goodbye,213
"Mela Tenenbaum, Pro Musica Prague & Richard Kapp",Revelations,Somedays,213
Nando Reis,Chill: Brazil (Disc 2),Mr Funk Samba,213
Nando Reis,Chill: Brazil (Disc 2),Tim Tim Por Tim Tim,213
Orchestra of The Age of Enlightenment,B-Sides 1980-1990,Bass Trap,213
Pedro Luís & A Parede,Garage Inc. (Disc 1),It's Electric,213
Peter Tosh,Get Born,Are You Gonna Be My Girl,213
R.E.M.,Cafezinho,Papelão,213
Raimundos,Living After Midnight,Living After Midnight,213
Rodox,Os Cães Ladram Mas A Caravana Não Pára,Biruta,213
Santana Feat. Everlast,Knocking at Your Back Door: The Best Of Deep Purple in the 80's,Hush,213
The Police,Greatest Hits,Coming In Hot,213
Yehudi Menuhin,Instant Karma: The Amnesty International Campaign to Save Darfur,Power to the People,213
Academy of St. Martin in the Fields & Sir Neville Marriner,The Doors,Back Door Man,214
Bebel Gilberto,Axé Bahia 2001,Lavadeira,214
"Britten Sinfonia, Ivor Bolton & Lesley Garrett",Tangents,Paint It Black,214
Dread Zeppelin,Miles Ahead,The Duke,214
Ed Motta,Greatest Kiss,Do You Love Me,214
Frank Zappa & Captain Beefheart,Minha Historia,Brejo Da Cruz,214
Gerald Moore,Carry On,Arms Around Your Love,214
Gustavo & Andres Veiga & Salazar,Dark Side Of The Moon,On The Run,214
Incognito,American Idiot,Extraordinary Girl,214
Jackson Browne,Compositores,Prazer E Fé,214
João Gilberto,Na Pista,Livre Pra Viver,214
Santana Feat. Eric Clapton,Vault: Def Leppard's Greatest Hits,Heaven Is,214
The Flaming Lips,Original Soundtracks 1,Corpse (These Chains Are Way Too Long),214
Vinícius De Moraes & Baden Powell,Elis Regina-Minha História,Me Deixas Louca,214
Academy of St. Martin in the Fields & Sir Neville Marriner,The Doors,Soul Kitchen,215
Alanis Morissette,Let There Be Rock,Dog Eat Dog,215
Alice In Chains,Big Ones,Deuces Are Wild,215
Antal Doráti & London Symphony Orchestra,"The Best Of Van Halen, Vol. I",Runnin' With The Devil,215
Barry Wordsworth & BBC Concert Orchestra,Acústico,Flores,215
Battlestar Galactica (Classic),Milton Nascimento Ao Vivo,Canção Do Novo Mundo,215
"Chicago Symphony Chorus, Chicago Symphony Orchestra & Sir Georg Solti",Transmission,Army Ants,215
Corinne Bailey Rae,From The Muddy Banks Of The Wishkah [Live],Drain You,215
House Of Pain,Riot Act,Help Help,215
House Of Pain,Riot Act,I Am Mine,215
Milton Nascimento & Bebeto,Da Lama Ao Caos,Salustiano Song,215
Nega Gizza,Vs.,Dissident,215
Orchestre Révolutionnaire et Romantique & John Eliot Gardiner,Voodoo Lounge,You Got Me Rocking,215
Page & Plant,Sex Machine,Get On The Good Foot,215
Royal Philharmonic Orchestra & Sir Thomas Beecham,No Security,Respectable,215
Rush,Coda,Ozone Baby,215
Scholars Baroque Ensemble,"Pure Cult: The Best Of The Cult (For Rockers, Ravers, Lovers & Sinners) [UK]",Wild Flower,215
Smashing Pumpkins,IV,Going To California,215
Tim Maia,Barulhinho Bom,Magamalabares,215
Vinícius De Moraes,The Cream Of Clapton,Cocaine,215
Yehudi Menuhin,Instant Karma: The Amnesty International Campaign to Save Darfur,Whatever Gets You Thru the Night,215
Yehudi Menuhin,Instant Karma: The Amnesty International Campaign to Save Darfur,[Just Like] Starting Over,215
Battlestar Galactica,The Best Of Men At Work,Be Good Johnny,216
Battlestar Galactica,The Best Of Men At Work,Everything I Need,216
Big & Rich,Acústico MTV,Que País É Este,216
Charlie Brown Jr.,Greatest Hits I,Another One Bites The Dust,216
Choir Of Westminster Abbey & Simon Preston,Van Halen,Runnin' With The Devil,216
Corinne Bailey Rae,From The Muddy Banks Of The Wishkah [Live],Blew,216
Ed Motta,Greatest Kiss,Goin' Blind,216
Ed Motta,Greatest Kiss,Hard Luck Woman,216
Guns N' Roses,Faceless,Faceless,216
Lenny Kravitz,Iron Maiden,09 - Iron Maiden,216
Les Arts Florissants & William Christie,House of Pain,Top O' The Morning To Ya,216
Lost,Garage Inc. (Disc 2),Blitzkrieg,216
Milton Nascimento & Bebeto,Da Lama Ao Caos,Cidade,216
Mundo Livre S/A,Green,The Wrong Child,216
Pink Floyd,Are You Experienced?,Stone Free,216
Scorpions,Pearl Jam,Parachutes,216
Seu Jorge,Blood Sugar Sex Magik,If You Have To Ask,216
The Rolling Stones,Lulu Santos - RCA 100 Anos De Música - Álbum 01,Brumário,216
Vinícius E Qurteto Em Cy,Unplugged,Malted Milk,216
Yo-Yo Ma,Beyond Good And Evil,The Saint,216
"Academy of St. Martin in the Fields, John Birch, Sir Neville Marriner & Sylvia McNair",Serie Sem Limite (Disc 1),Réu Confesso,217
Avril Lavigne,Olodum,Jeito Faceiro,217
Berliner Philharmoniker & Herbert Von Karajan,Ao Vivo [IMPORT],Papel Principal,217
"Berliner Philharmoniker, Claudio Abbado & Sabine Meyer","Hot Rocks, 1964-1971 (Disc 1)",Let's Spend The Night Together,217
Caetano Veloso,Black Sabbath,Behind The Wall Of Sleep,217
Christina Aguilera featuring BigElf,Ace Of Spades,Live To Win,217
Frank Sinatra,As Canções de Eu Tu Eles,Asa Branca,217
Gerald Moore,Carry On,Finally Forever,217
Hermeto Pascoal,The Best of Ed Motta,Já!!!,217
Jackson Browne,Compositores,Mundaréu,217
Legião Urbana,Fear Of The Dark,Chains Of Misery,217
Les Arts Florissants & William Christie,House of Pain,Jump Around,217
"Mela Tenenbaum, Pro Musica Prague & Richard Kapp",Revelations,One and the Same,217
Page & Plant,Sex Machine,I'm A Greedy Man Pt.1,217
Queen,Up An' Atom,Midget,217
Raul Seixas,Unplugged [Live],Goin' Blind,217
Sabotage E Instituto,By The Way,Minor Thing,217
Seu Jorge,Blood Sugar Sex Magik,Suck My Kiss,217
Stereo Maracana,Californication,Scar Tissue,217
System Of A Down,Physical Graffiti [Disc 2],Night Flight,217
The Tea Party,Lulu Santos - RCA 100 Anos De Música - Álbum 02,Senta A Pua,217
Toquinho & Vinícius,Djavan Ao Vivo - Vol. 1,Oceano,217
Vinícius E Odette Lara,Album Of The Year,Ashes To Ashes,217
Wilhelm Kempff,The Singles,Know Your Rights,217
Youssou N'Dour,Arquivo II,Uma Brasileira,217
Alberto Turco & Nova Schola Gregoriana,Core,Sex Type Thing,218
"Anne-Sophie Mutter, Herbert Von Karajan & Wiener Philharmoniker",Live [Disc 1],Greasy Grass River,218
Barry Wordsworth & BBC Concert Orchestra,Acústico,Família,218
David Coverdale,"Chronicle, Vol. 2",Tombstone Shadow,218
Deep Purple,Come Taste The Band,Gettin' Tighter,218
Ed Motta,Greatest Kiss,Detroit Rock City,218
Gerald Moore,Carry On,Killing Birds,218
Legião Urbana,Fear Of The Dark,From Here To Eternity,218
Les Arts Florissants & William Christie,House of Pain,Shamrocks And Shenanigans,218
Maurizio Pollini,The Best Of 1980-1990,I Will Follow,218
"Mela Tenenbaum, Pro Musica Prague & Richard Kapp",Revelations,Original Fire,218
Page & Plant,Sex Machine,Hey America,218
Sabotage E Instituto,By The Way,By The Way,218
Sabotage E Instituto,By The Way,Cabron,218
Tim Maia,Barulhinho Bom,Ainda Lembro,218
Titãs,Seek And Shall Find: More Of The Best (1963-1981),You Sure Love To Ball,218
Vinícius E Qurteto Em Cy,Unplugged,Refazenda,218
Vinícius E Qurteto Em Cy,Unplugged,Sítio Do Pica-Pau Amarelo,218
Aerosmith & Sierra Leone's Refugee Allstars,Demorou...,Dois Índios,219
Audioslave,Warner 25 Anos,Falando De Amor,219
Berliner Philharmoniker & Herbert Von Karajan,Ao Vivo [IMPORT],Seu Balancê,219
Black Eyed Peas,Arquivo Os Paralamas Do Sucesso,Óculos,219
Chicago Symphony Orchestra & Fritz Reiner,All That You Can't Leave Behind,In A Little While,219
Dhani Harrison & Jakob Dylan,Nevermind,Come As You Are,219
Ed Motta,Greatest Kiss,Shout It Out Loud,219
Elis Regina,Meus Momentos,Não Dá Mais Pra Segurar (Explode Coração),219
"Emanuel Ax, Eugene Ormandy & Philadelphia Orchestra",How To Dismantle An Atomic Bomb,All Because Of You,219
Frank Sinatra,As Canções de Eu Tu Eles,Óia Eu Aqui De Novo,219
House Of Pain,Riot Act,Can't Keep,219
Iron Maiden,Appetite for Destruction,My Michelle,219
Kiss,Vinícius De Moraes - Sem Limite,Pot-Pourri N.º 5,219
Les Arts Florissants & William Christie,House of Pain,House And The Rising Sun,219
Raimundos,Living After Midnight,Diamonds And Rust (Live),219
Stone Temple Pilots,Led Zeppelin III,Hats Off To (Roy) Harper,219
Yo-Yo Ma,Beyond Good And Evil,Rise,219
Youssou N'Dour,Arquivo II,Tendo A Lua,219
Battlestar Galactica (Classic),Milton Nascimento Ao Vivo,A Noite Do Meu Bem,220
"Edson, DJ Marky & DJ Patife Featuring Fernanda Porto",The Essential Miles Davis [Disc 2],Time After Time,220
Gerald Moore,Carry On,Scar On the Sky,220
Instituto,The Best Of R.E.M.: The IRS Years,Can't Get There From Here,220
Los Hermanos,Out Of Time,Texarkana,220
Lost,Garage Inc. (Disc 2),Damage Case,220
O Rappa,Greatest Hits II,Hammer To Fall,220
R.E.M.,Cafezinho,Enquanto O Dia Não Vem,220
Santana Feat. Eric Clapton,Vault: Def Leppard's Greatest Hits,Action,220
Smashing Pumpkins,IV,Rock & Roll,220
The King's Singers,Vinicius De Moraes,Samba Do Jato,220
"Academy of St. Martin in the Fields, Sir Neville Marriner & William Bennett",War,The Refugee,221
Antônio Carlos Jobim,Jagged Little Pill,Hand In My Pocket,221
Azymuth,Acústico MTV [Live],Já Foi,221
BackBeat,Plays Metallica By Four Cellos,Enter Sandman,221
"Berliner Philharmoniker, Claudio Abbado & Sabine Meyer","Hot Rocks, 1964-1971 (Disc 1)",Under My Thumb,221
"Chor der Wiener Staatsoper, Herbert Von Karajan & Wiener Philharmoniker",Contraband,Spectacle,221
Fernanda Porto,International Superhits,Warning,221
Foo Fighters,Roda De Funk,Forty Days (Com DJ Hum),221
"Herbert Von Karajan, Mirella Freni & Wiener Philharmoniker",Volume Dois,Não Vou Me Adaptar,221
London Symphony Orchestra & Sir Charles Mackerras,Serie Sem Limite (Disc 2),I Don't Know What To Do With Myself,221
Los Lonely Boys,Motley Crue Greatest Hits,Shout At The Devil,221
Marcos Valle,Afrociberdelia,Maracatu Atômico [Trip Hop],221
Milton Nascimento,Minha História,Banho De Lua,221
Motörhead,Piece Of Mind,Quest For Fire,221
Paul D'Ianno,Synkronized,King For A Day,221
Sergei Prokofiev & Yuri Temirkanov,Achtung Baby,Even Better Than The Real Thing,221
The 12 Cellists of The Berlin Philharmonic,Radio Brasil (O Som da Jovem Vanguarda) - Seleccao de Henrique Amaro,Chega no Suingue,221
The 12 Cellists of The Berlin Philharmonic,Radio Brasil (O Som da Jovem Vanguarda) - Seleccao de Henrique Amaro,Na Ladeira,221
The Flaming Lips,Original Soundtracks 1,Plot 180,221
The King's Singers,Vinicius De Moraes,Adeus,221
The Police,Greatest Hits,Don't Look Back,221
The Police,Greatest Hits,Fly Away,221
The Police,Greatest Hits,Nothing But Love,221
Various Artists,Prenda Minha,Eclipse Oculto,221
Vinícius De Moraes,The Cream Of Clapton,Wonderful Tonight,221
"Anne-Sophie Mutter, Herbert Von Karajan & Wiener Philharmoniker",Live [Disc 1],Thick & Thin,222
Apocalyptica,Facelift,I Can't Remember,222
Azymuth,Acústico MTV [Live],Firmamento,222
Barry Wordsworth & BBC Concert Orchestra,Acústico,Prá Dizer Adeus,222
Battlestar Galactica,The Best Of Men At Work,Down Under,222
Billy Cobham,Audioslave,Cochise,222
"Britten Sinfonia, Ivor Bolton & Lesley Garrett",Tangents,The Bazaar,222
Choir Of Westminster Abbey & Simon Preston,Van Halen,Feel Your Love Tonight,222
Creedence Clearwater Revival,King For A Day Fool For A Lifetime,Cuckoo For Caca,222
Def Leppard,Deixa Entrar,Confidência,222
Def Leppard,Deixa Entrar,Rindo À Toa,222
Elis Regina,Meus Momentos,E Vamos À Luta,222
Frank Sinatra,As Canções de Eu Tu Eles,Juazeiro,222
Frank Zappa & Captain Beefheart,Minha Historia,Meia-Lua Inteira,222
Funk Como Le Gusta,Quanta Gente Veio Ver (Live),Ghandi (Live),222
Milton Nascimento,Minha História,"Posso Perder Minha Mulher, Minha Mãe, Desde Que Eu Tenha O Rock And Roll",222
Orchestre Révolutionnaire et Romantique & John Eliot Gardiner,Voodoo Lounge,Moon Is Up,222
Pink Floyd,Are You Experienced?,Manic Depression,222
Raimundos,Living After Midnight,Electric Eye,222
Raul Seixas,Unplugged [Live],Nothin' To Lose,222
The King's Singers,Vinicius De Moraes,Tudo Na Mais Santa Paz,222
"Vinicius, Toquinho & Quarteto Em Cy",Angel Dust,Be Aggressive,222
Vinícius E Qurteto Em Cy,Unplugged,Alberta,222
Wilhelm Kempff,The Singles,Rock The Casbah,222
Chico Science & Nação Zumbi,Body Count,Bowels Of The Devil,223
"Chor der Wiener Staatsoper, Herbert Von Karajan & Wiener Philharmoniker",Contraband,Headspace,223
Cássia Eller,The Real Thing,The Morning After,223
Dhani Harrison & Jakob Dylan,Nevermind,Drain You,223
Jackson Browne,Compositores,Sangue Latino,223
Regina Spektor,Live On Two Legs [Live],"Hail, Hail",223
Simply Red,Houses Of The Holy,Dancing Days,223
Titãs,Seek And Shall Find: More Of The Best (1963-1981),Seek And You Shall Find,223
Various Artists,Prenda Minha,Esse Cara,223
"Vinicius, Toquinho & Quarteto Em Cy",Angel Dust,Land Of Sunshine,223
"Vinicius, Toquinho & Quarteto Em Cy",Angel Dust,RV,223
Vinícius De Moraes & Baden Powell,Elis Regina-Minha História,O Bêbado e a Equilibrista,223
Avril Lavigne,Olodum,Reggae Odoyá,224
Fernanda Porto,International Superhits,Welcome To Paradise,224
Gerald Moore,Carry On,No Such Thing,224
"Herbert Von Karajan, Mirella Freni & Wiener Philharmoniker",Volume Dois,Era Uma Vez,224
Pink Floyd,Are You Experienced?,Red House,224
R.E.M. Feat. KRS-One,Jota Quest-1995,Encontrar Alguém,224
Sabotage E Instituto,By The Way,Throw Away Your Television,224
Vinícius E Qurteto Em Cy,Unplugged,Before You Accuse Me,224
Academy of St. Martin in the Fields Chamber Ensemble & Sir Neville Marriner,The Police Greatest Hits,Invisible Sun,225
"Academy of St. Martin in the Fields, Sir Neville Marriner & William Bennett",War,Red Light,225
Azymuth,Acústico MTV [Live],Mensagem,225
Battlestar Galactica,The Best Of Men At Work,Overkill,225
Berliner Philharmoniker & Herbert Von Karajan,Ao Vivo [IMPORT],Não Sou Mais Disso,225
Big & Rich,Acústico MTV,O Trem Da Juventude,225
Corinne Bailey Rae,From The Muddy Banks Of The Wishkah [Live],Milk It,225
Ed Motta,Greatest Kiss,Calling Dr. Love,225
Edo de Waart & San Francisco Symphony,Diver Down,Dancing In The Street,225
Gilberto Gil,Cidade Negra - Hits,Firmamento,225
Gustav Mahler,Zooropa,The First Time,225
Instituto,The Best Of R.E.M.: The IRS Years,Green Grow The Rushes,225
Luiz Melodia,Chill: Brazil (Disc 1),Vôo Sobre o Horizonte,225
Michele Campanella,Temple of the Dog,Pushin Forward Back,225
Nicolaus Esterhazy Sinfonia,A-Sides,Get On The Snake,225
Paul D'Ianno,Synkronized,Failling,225
Regina Spektor,Live On Two Legs [Live],Do The Evolution,225
Scorpions,Pearl Jam,Army Reserve,225
Stereo Maracana,Californication,This Velvet Glove,225
The Tea Party,Lulu Santos - RCA 100 Anos De Música - Álbum 02,O Descobridor Dos Sete Mares,225
Vinícius E Qurteto Em Cy,Unplugged,Sampa,225
"Berliner Philharmoniker, Claudio Abbado & Sabine Meyer","Hot Rocks, 1964-1971 (Disc 1)",Paint It Black,226
"Berliner Philharmoniker, Claudio Abbado & Sabine Meyer","Hot Rocks, 1964-1971 (Disc 1)",Satisfaction,226
Chicago Symphony Orchestra & Fritz Reiner,All That You Can't Leave Behind,Wild Honey,226
Choir Of Westminster Abbey & Simon Preston,Van Halen,I'm The One,226
"Felix Schmidt, London Symphony Orchestra & Rafael Frühbeck de Burgos",UB40 The Best Of - Volume Two [UK],Kingston Town,226
"Felix Schmidt, London Symphony Orchestra & Rafael Frühbeck de Burgos",UB40 The Best Of - Volume Two [UK],Where Did I Go Wrong,226
Hermeto Pascoal,The Best of Ed Motta,Vamos Dançar,226
Kiss,Vinícius De Moraes - Sem Limite,Como É Duro Trabalhar,226
Los Hermanos,Out Of Time,Shiny Happy People,226
Luciana Souza/Romero Lubambo,Judas 0: B-Sides and Rarities,Because You Are,226
Mundo Livre S/A,Green,You Are The Everything,226
Raul Seixas,Unplugged [Live],Domino,226
The 12 Cellists of The Berlin Philharmonic,Radio Brasil (O Som da Jovem Vanguarda) - Seleccao de Henrique Amaro,O Misterio do Samba,226
Vinícius E Qurteto Em Cy,Unplugged,Walkin' Blues,226
Youssou N'Dour,Arquivo II,Ela Disse Adeus,226
Antal Doráti & London Symphony Orchestra,"The Best Of Van Halen, Vol. I",Why Can't This Be Love,227
Antônio Carlos Jobim,Jagged Little Pill,Not The Doctor,227
Black Eyed Peas,Arquivo Os Paralamas Do Sucesso,Cinema Mudo,227
Chicago Symphony Orchestra & Fritz Reiner,All That You Can't Leave Behind,Elevation,227
Ed Motta,Greatest Kiss,Shock Me,227
Elis Regina,Meus Momentos,Com A Perna No Mundo,227
Heroes,Black Album,Holier Than Thou,227
Instituto,The Best Of R.E.M.: The IRS Years,I Believe,227
Marcos Valle,Afrociberdelia,Samba Do Lado,227
Os Mutantes,Cássia Eller - Sem Limite [Disc 1],E.C.T.,227
Os Mutantes,Cássia Eller - Sem Limite [Disc 1],Todo Amor Que Houver Nesta Vida,227
R.E.M. Feat. Kate Pearson,Jorge Ben Jor 25 Anos,Filho Maravilha,227
Santana Feat. The Project G&B,Slaves And Masters,Love Conquers All,227
The Rolling Stones,Lulu Santos - RCA 100 Anos De Música - Álbum 01,Toda Forma De Amor,227
Titãs,Seek And Shall Find: More Of The Best (1963-1981),Heavy Love Affair,227
Wilhelm Kempff,The Singles,Clash City Rockers,227
Yehudi Menuhin,Instant Karma: The Amnesty International Campaign to Save Darfur,Beautiful Boy,227
Antal Doráti & London Symphony Orchestra,"The Best Of Van Halen, Vol. I",Ain't Talkin' 'bout Love,228
Avril Lavigne,Olodum,Faraó Divindade Do Egito,228
Big & Rich,Acústico MTV,Vamo Batê Lata,228
Charlie Brown Jr.,Greatest Hits I,Save Me,228
David Coverdale,"Chronicle, Vol. 2",(Wish I Could) Hideaway,228
Edo de Waart & San Francisco Symphony,Diver Down,Little Guitars,228
Gonzaguinha,Cássia Eller - Coleção Sem Limite [Disc 2],Geração Coca-Cola (Ao Vivo),228
Iron Maiden,Appetite for Destruction,Mr. Brownstone,228
Joe Satriani,A Real Dead One,Running Free,228
Judas Priest,Dance Of Death,Rainmaker,228
Luciana Souza/Romero Lubambo,Judas 0: B-Sides and Rarities,Waiting,228
"Mela Tenenbaum, Pro Musica Prague & Richard Kapp",Revelations,Broken City,228
Olodum,The Number of The Beast,Gangland,228
Olodum,The Number of The Beast,Run to the Hills,228
"Richard Marlow & The Choir of Trinity College, Cambridge",Mezmerize,Revenga,228
Sir Georg Solti & Wiener Philharmoniker,My Generation - The Very Best Of The Who,Substitute,228
The Police,Greatest Hits,Again,228
Vinícius E Odette Lara,Album Of The Year,Mouth To Mouth,228
Alberto Turco & Nova Schola Gregoriana,Core,Naked Sunday,229
Antônio Carlos Jobim,Jagged Little Pill,Ironic,229
Aquaman,Minas,Beijo Partido,229
Berliner Philharmoniker & Hans Rosbaud,Rattle And Hum,Angel Of Harlem,229
Black Eyed Peas,Arquivo Os Paralamas Do Sucesso,Me Liga,229
Djavan,In Your Honor [Disc 2],Virginia Moon,229
Foo Fighters,Roda De Funk,Nervosa,229
Instituto,The Best Of R.E.M.: The IRS Years,Pretty Persuasion,229
Instituto,The Best Of R.E.M.: The IRS Years,The Finest Worksong,229
Luciana Souza/Romero Lubambo,Judas 0: B-Sides and Rarities,Saturnine,229
Marillion,Live After Death,Flight Of Icarus,229
Men At Work,No Prayer For The Dying,Holy Smoke,229
R.E.M. Feat. KRS-One,Jota Quest-1995,Dance Enquanto é Tempo,229
Regina Spektor,Live On Two Legs [Live],Elderly Woman Behind The Counter In A Small Town,229
Aerosmith,Restless and Wild,Fast As a Shark,230
Avril Lavigne,Olodum,Revolta Olodum,230
Azymuth,Acústico MTV [Live],A Sombra Da Maldade,230
Barry Wordsworth & BBC Concert Orchestra,Acústico,Go Back,230
Bebel Gilberto,Axé Bahia 2001,Daniela,230
Choir Of Westminster Abbey & Simon Preston,Van Halen,Ain't Talkin' 'Bout Love,230
Deep Purple,Come Taste The Band,Dealer,230
Dennis Chambers,In Your Honor [Disc 1],In Your Honor,230
Dhani Harrison & Jakob Dylan,Nevermind,Something In The Way,230
Gustavo & Andres Veiga & Salazar,Dark Side Of The Moon,Brain Damage,230
Hermeto Pascoal,The Best of Ed Motta,Manuel,230
House Of Pain,Riot Act,Save You,230
Jaguares,Walking Into Clarksdale,Heart In Your Hand,230
João Gilberto,Na Pista,Gostava Tanto De Você,230
Los Hermanos,Out Of Time,Endgame,230
Maurizio Pollini,The Best Of 1980-1990,Angel Of Harlem,230
Maurizio Pollini,The Best Of 1980-1990,Pride (In The Name Of Love),230
"Mela Tenenbaum, Pro Musica Prague & Richard Kapp",Revelations,Until We Fall,230
Motörhead,Piece Of Mind,Flight Of The Icarus,230
Orchestre Révolutionnaire et Romantique & John Eliot Gardiner,Voodoo Lounge,Love Is Strong,230
Passengers,Emergency On Planet Earth,When You Gonna Learn (Digeridoo),230
Peter Tosh,Get Born,Look What You've Done,230
R.E.M.,Cafezinho,Por Merecer,230
Scholars Baroque Ensemble,"Pure Cult: The Best Of The Cult (For Rockers, Ravers, Lovers & Sinners) [UK]",Spirit Walker,230
Spyro Gyra,Vozes do MPB,Linha de Passe (João Bosco),230
The Black Crowes,The Song Remains The Same (Disc 1),Celebration Day,230
The Police,Greatest Hits,I'm The Toughest,230
The Police,Greatest Hits,Mr. Cab Driver,230
Tim Maia,Barulhinho Bom,Maraçá,230
Aaron Goldberg,Rotten Apples: Greatest Hits,[Untitled],231
"Academy of St. Martin in the Fields, Sir Neville Marriner & Thurston Dart",20th Century Masters - The Millennium Collection: The Best of Scorpions,Rhythm of Love,231
Azymuth,Acústico MTV [Live],A Cor Do Sol,231
Barão Vermelho,The Essential Miles Davis [Disc 1],Tempus Fugit,231
Cássia Eller,The Real Thing,Underwater Love,231
DJ Dolores & Orchestra Santa Massa,Raul Seixas,Rock Das Aranhas (Ao Vivo) (Live),231
Def Leppard,Deixa Entrar,Asas,231
"Emanuel Ax, Eugene Ormandy & Philadelphia Orchestra",How To Dismantle An Atomic Bomb,One Step Closer,231
Faith No More,The Colour And The Shape,Monkey Wrench,231
Funk Como Le Gusta,Quanta Gente Veio Ver (Live),Cérebro Eletrônico (Live),231
Gerald Moore,Carry On,Ghosts,231
House Of Pain,Riot Act,Cropduster,231
Iron Maiden,Appetite for Destruction,Think About You,231
Marillion,Live After Death,Run To The Hills,231
Michele Campanella,Temple of the Dog,All Night Thing,231
Mundo Livre S/A,Green,Orange Crush,231
Pedro Luís E A Parede,News Of The World,"Get Down, Make Love",231
Stereo Maracana,Californication,Easily,231
The Tea Party,Lulu Santos - RCA 100 Anos De Música - Álbum 02,O Último Romântico (Ao Vivo),231
Vinícius De Moraes,The Cream Of Clapton,Lay Down Sally,231
Vinícius E Qurteto Em Cy,Unplugged,Nobody Knows You When You're Down & Out,231
Xis,Ten,Once,231
Yo-Yo Ma,Beyond Good And Evil,My Bridges Burn,231
Youssou N'Dour,Arquivo II,Trac Trac,231
Azymuth,Acústico MTV [Live],Podes Crer,232
DJ Dolores & Orchestra Santa Massa,Raul Seixas,As Profecias,232
Incognito,American Idiot,Holiday,232
Jaguares,Walking Into Clarksdale,Upon A Golden Horse,232
Judas Priest,Dance Of Death,Wildest Dreams,232
Lulu Santos,Killers,Innocent Exile,232
Marcos Valle,Afrociberdelia,Corpo De Lama,232
Marvin Gaye,Live At Donington 1992 (Disc 2),The Trooper,232
Nicolaus Esterhazy Sinfonia,A-Sides,Bleed Together,232
Sabotage E Instituto,By The Way,The Zephyr Song,232
Sergei Prokofiev & Yuri Temirkanov,Achtung Baby,Tryin' To Throw Your Arms Around The World,232
The 12 Cellists of The Berlin Philharmonic,Radio Brasil (O Som da Jovem Vanguarda) - Seleccao de Henrique Amaro,Armadura,232
The Police,Greatest Hits,Always On The Run,232
The Police,Greatest Hits,It's Only Love,232
Vinícius De Moraes & Baden Powell,Elis Regina-Minha História,Maria Rosa,232
Vinícius E Odette Lara,Album Of The Year,Pristina,232
Yehudi Menuhin,Instant Karma: The Amnesty International Campaign to Save Darfur,Gimme Some Truth,232
A Cor Do Som,MK III The Final Concerts [Disc 1],Lady Double Dealer,233
AC/DC,For Those About To Rock We Salute You,Let's Get It Up,233
Aisha Duo,Santana - As Years Go By,As The Years Go by,233
